Id,Difficulty,Level,MonsterGroup
int,int,int,int[]
Id,难度,关卡,怪物组id
1001,1,1,10011
1002,1,2,10021
1003,1,3,10031
1004,1,4,10041|10042
1005,1,5,10051|10052
1006,1,6,10061|10062
1007,1,7,10071|10072|10073
1008,1,8,10081|10082|10083
1009,1,9,10091|10092|10093
1010,1,10,10101|10102|10103
2001,2,1,10011
2002,2,2,10021
2003,2,3,10031
2004,2,4,10041|10042
2005,2,5,10051|10052
2006,2,6,10061|10062
2007,2,7,10071|10072|10073
2008,2,8,10081|10082|10083
2009,2,9,10091|10092|10093
2010,2,10,10101|10102|10103
3001,3,1,10011
3002,3,2,10021
3003,3,3,10031
3004,3,4,10041|10042
3005,3,5,10051|10052
3006,3,6,10061|10062
3007,3,7,10071|10072|10073
3008,3,8,10081|10082|10083
3009,3,9,10091|10092|10093
3010,3,10,10101|10102|10103
4001,4,1,10011
4002,4,2,10021
4003,4,3,10031
4004,4,4,10041|10042
4005,4,5,10051|10052
4006,4,6,10061|10062
4007,4,7,10071|10072|10073
4008,4,8,10081|10082|10083
4009,4,9,10091|10092|10093
4010,4,10,10101|10102|10103
5001,5,1,10011
5002,5,2,10021
5003,5,3,10031
5004,5,4,10041|10042
5005,5,5,10051|10052
5006,5,6,10061|10062
5007,5,7,10071|10072|10073
5008,5,8,10081|10082|10083
5009,5,9,10091|10092|10093
5010,5,10,10101|10102|10103
