Id,MonsterId,MonsterEntry,Type,MonsterLevel,MonsterHp
int,int,int,MonsterType,int,int
Id,怪物Id,怪物机制,怪物类型,怪物等级,生命值
1001001,1001,,Normal,1,1000
1001002,1001,,Normal,2,1500
1001003,1001,,Normal,3,2000
1001004,1001,,Normal,4,2500
1001005,1001,,Normal,5,3000
1002001,1002,1,Normal,1,1000
1002002,1002,1,Normal,2,1500
1002003,1002,1,Normal,3,2000
1002004,1002,1,Normal,4,2500
1002005,1002,1,Normal,5,3000
1003001,1003,1,Normal,1,1000
1003002,1003,1,Normal,2,1500
1003003,1003,1,Normal,3,2000
1003004,1003,1,Normal,4,2500
1003005,1003,1,Normal,5,3000
1004001,1004,1,Normal,1,1000
1004002,1004,1,Normal,2,1500
1004003,1004,1,Normal,3,2000
1004004,1004,1,Normal,4,2500
1004005,1004,1,Normal,5,3000
1005001,1005,1,Normal,1,1000
1005002,1006,1,Normal,2,1500
1005003,1007,1,Normal,3,2000
1005004,1008,1,Normal,4,2500
1005005,1009,1,Normal,5,3000
2001001,2001,1,Boss,1,10000
2001002,2001,1,Boss,2,15000
2001003,2001,1,Boss,3,20000
2001004,2001,1,Boss,4,25000
2001005,2001,1,Boss,5,30000
2002001,2002,1,Boss,1,10000
2002002,2002,1,Boss,2,15000
2002003,2002,1,Boss,3,20000
2002004,2002,1,Boss,4,25000
2002005,2002,1,Boss,5,30000
2003001,2003,1,Boss,1,10000
2003002,2003,1,Boss,2,15000
2003003,2003,1,Boss,3,20000
2003004,2003,1,Boss,4,25000
2003005,2003,1,Boss,5,30000
2004001,2004,1,Boss,1,10000
2004002,2004,1,Boss,2,15000
2004003,2004,1,Boss,3,20000
2004004,2004,1,Boss,4,25000
2004005,2004,1,Boss,5,30000
